INTERVIEW WITH KARL MARX,	カール・マルクス Interview
But to talk of secret instruction from London, as of decrees in the matter of faith and morals from some centre of papal domination and intrigue, is wholly to misconceive the nature of the International.	しかしながら、ロンドンからの秘密指令などという話は、中央のローマ教皇的な圧制と策謀から真義と道徳に関わる託宣が下されるようなお話ですが、そもそもインターナショナルの性格を完全に誤解したものです。
This would imply a centralized form of government for the International, whereas the real form is designedly that which gives the greatest play to local energy and independence.	もしそれが事実なら、インターナショナルは中央集権化された政治形態を持っているということになりますが、その実際の形態は地域のエネルギーと自主独立性を最も重視するよう設計されているのです。
In fact, the International is not properly a government for the working class at all.	実のところ、インターナショナルは労働階級の政府とすら正しくは申せません。
It is a bond of union rather than a controlling force.	それは組合の連合であって、制御する力ではないのです。
R.: And of union to what end?	――してその組合の目的とは？
Dr. M.: The economical emancipation of the working class by the conquest of political power.	マルクス：政治権力の奪取による労働者の経済的解放です。
The use of that political power to the attainment of social ends.	そしてその政治権力を、社会の目標のために行使することです。
It is necessary that our aims should be thus comprehensive to include every form of working-class activity.	したがって、われわれの活動はあらゆる労働階級の活動を包含する広範なものでなくてはならない。
To have made them of a special character would have been to adapt them to the needs of one section -- one nation of workmen alone.	ある特殊な性格のものにすれば、それを一部セクションのニーズに合わせることになります――つまり労働者だけの国家、ということです。
But how could all men be asked to unite to further the objects of a few?	しかしながら、少数者の目的を追求するために、すべての人々に団結するようお願いしたりなんかできないでしょう。
To have done that, the Association must have forfeited its title to International.	それをするなら、インターナショナルはその名前を捨てなくてはならない。
The Association does not dictate the form of political movements;	この団体は、政治運動の形態を指示するものではない。
it only requires a pledge as to their end.	その目的に対して言質を与えるものなんです。
It is a network of affiliated societies spreading all over the world of labor.	それは労働の世界津々浦々に広がる、結びあった社会のネットワークなんです。
In each part of the world, some special aspect of the problem presents itself, and the workmen there address themselves to its consideration in their own way.	世界の各部分で、問題のそれぞれ別の面が露呈してきて、その地の労働者はそれぞれ独自のやりかたで、自分たちの関心事に対応していくんです。
Combinations among workmen cannot be absolutely identical in detail in Newcastle and in Barcelona, in London and in Berlin.	労働者の中での組み合わせは、細かいところでは絶対にちがってきます。ニューキャッスルとバルセロナとではちがうし、ロンドンとベルリンでもちがう。
In England, for instance, the way to show political power lies open to the working class.	たとえばイギリスでは、労働階級にとって政治的な力を示す方法はさまざまに開かれています。
Insurrection would be madness where peaceful agitation would more swiftly and surely do the work.	平和的なアジテーションが迅速かつ確実に目的を達成できるのに、暴動を起こすなんてきちがい沙汰です。
In France, a hundred laws of repression and a mortal antagonism between classes seem to necessitate the violent solution of social war.	フランスでは、何百という抑圧的な法律と階級間の道徳的な反目のため、社会的戦争という暴力的な解決方法が必要となるようですね。
The choices of that solution is the affair of the working classes of that country.	その解決方法の選択は、その国の労働階級の問題です。
The International does not presume to dictate in the matter and hardly to advise.	インターナショナルはその点について、指示するつもりはありませんし、ほとんど助言さえ与えません。
But to every movement it accords its sympathy and its aid within the limits assigned by its own laws.	しかし、そのすべての運動に対して、インターナショナルは共感を寄せ、自分の規定によって課された制限の範囲内で支援をさしのべるのです。
R.: And what is the nature of that aid?	――して、その支援とはいかなる性質のものなのでしょうか。
Dr. M.: To give an example, one of the commonest forms of the movement for emancipation is that of strikes.	マルクス：たとえばですね、解放運動のもっとも一般的な形態は、ストライキです。
Formerly, when a strike took place in one country, it was defeated by the importation of workmen from another.	かつて、ある国でストライキが起こると、それは別の国から労働者が輸入されることによって打倒されてしまいました。
The International has nearly stopped all that.	インターナショナルは、これをほぼ完全に止めました。
It receives information of the intended strike, it spreads that information among its members, who at once see that for them the seat of the struggle must be forbidden ground.	ストの計画を報されると、メンバーたちにその情報を広め、かれらはすぐにその闘争の地が不可侵なものとなるよう手配します。
The masters are thus left alone to reckon with their men.	主人たちは、自分たちの雇い人と交渉するしかなくなります。
In most cases, the men require no other aid than that.	ほとんどの場合、これ以上の支援は必要とされません。
Their own subscriptions, or those of the societies to which they are more immediately affiliated, supply them with funds, but should the pressure upon them become too heavy, and the strike be one of which the Association approves, their necessities are supplied out of the common purse.	かれら自身の会費や、かれらがもっと直接的に関わっている社会が資金を供給しますが、かれらへの圧力が重くなりすぎて、そのストライキがインターナショナルの認めるものとなれば、共通財源から必要資金が供給されます。
By these means, a strike of the cigar makers of Barcelona was brought to a victorious issue the other day.	この手段によって、バルセロナの葉巻製造者のストは先日勝利をもって終わりました。
But the Society has not interest in strikes,	しかしながら、社会はストライキに興味はありません。
though it supports them under certain conditions.	ただし、限られた状況下でそれを支持することはありますが。
It cannot possibly gain by them in a pecuniary point of view, but it may easily lose.	金銭的な視点からいえば、社会がストライキで何かを得ることは絶対になく、むしろ失うことのほうが多いでしょう。
Let us sum it all up in a word.	一言で要約するとこういうことです。
The working classes remain poor amid the increase of wealth, wretched amid the increase of luxury.	労働階級は、富の増加のなかで貧しいままにおかれ、奢侈の増加の中で窮乏のままにおかれるのです。
Their material privation dwarfs their moral as well as their physical stature.	その物質的な欠乏は、道徳的な地位や肉体的な地位をも貶めるのです。
They cannot rely on others for a remedy.	それに対して他の者たちに頼ることもできません。
It has become then with them an imperative necessity to take their own case in hand.	このようにして、かれら自身が自分たちに関わる事象を自ら掌握することが、避けがたい必須事項となったのです。
They must revive the relations between themselves and the capitalists and landlords,	労働者は、自分たちの内部における相互の関係や、資本家たちや地主との関係を改めなくてはなりません。
and that means they must transform society.	ということはつまり、社会を変えなくてはならないと言うことです。
This is the general end of every known workmen's organization;	これが現存するあらゆる労働者組織の最終目標です。
land and labor leagues, trade and friendly societies, co-operative production are but means toward it.	土地組合や労働組合、交易組織や友愛組織、生協店舗や共同生産は、そこに到達するための手段にすぎません。
To establish a perfect solidarity between these organizations is the business of the International Association.	これらの組織の間に完全な結束を作り出すのがインターナショナルの仕事です。
Its influence is beginning to be felt everywhere.	その影響は、あちこちに見られるようになってきています。
Two papers spread its views in Spain, three in Germany, the same number in Austria and in Holland, six in Belgium, and six in Switzerland.	スペインでは二紙、ドイツでは三紙、オーストリアとオランダでも同数、ベルギーでは六紙、スイスでも六紙がわれわれの考えを広めています。
And now that I have told you what the International is, you may, perhaps, be in a position to form your own opinion as to its pretended plots.	さて、インターナショナルのなんたるかを説明いたしましたので、それが陰謀に加担したとかいうお話についてご自分なりの見解をまとめていただけるかと思いますが。
R.: And Mazzini, is he a member of your body?	――ではマツィーニは、あなたがたの一員ですか。
Dr. M.: (laughing) Ah, no.	マルクス：（笑いながら）いやいや。
We should have made but little progress if we had not got beyond the range of his ideas.	かれの思想の枠内にとどまっていたら、われわれはほとんど進歩しなかったことでしょう。
R.: You surprise me.	――これは驚きですね。
I should certainly have thought that he represented most advanced views.	わたしはてっきり、かれが一番進歩的な考え方の代表だと考えていたのですが。
Dr. M.: He represents nothing better than the old idea of a middle-class republic.	マルクス：かれが代表しているのは、古くさい中産階級共和国の考え方にすぎません。
We want no part of the middle class.	われわれは中産階級とはなんら関係を持つつもりはないのです。
He has fallen as far to the rear of the modern movement as the German professors,	マツィーニは現代運動の最後尾にまで脱落してしまい、いまやドイツの教授たちといっしょです。
who, nevertheless, are still considered in Europe as the apostles of the cultured democratism of the future.	かれらも、ヨーロッパでは未だに未来の文化的民主主義の使徒と思われていますがね。
They were so, at one time -- before '48, perhaps,	まあ、一時はそうでした――たぶん 48 年以前までは。
when the German middle class, in the English sense, had scarcely attained its proper development.	当時はイギリス的な意味でのドイツの中産階級は、まだしかるべき発展をほとんど遂げていませんでした。
But now they have gone over bodily to the reaction, and the proletariat knows them no more.	しかしながら、いまやかれらは相対として反動側に行ってしまったので、プロレタリアートとはもはや袂を分かちました。
R.: Some people have thought they saw signs of a positivist element in your organization.	――あなたの結社に実証主義的な面を見ようとする人々もおりますが。
Dr. M.: No such thing.	マルクス：そんなものはありません。
We have positivists among us, and others not of our body who work as well.	会員に実証主義者はおりますし、会員ではなくてもいっしょに活動する人々の中にも、そうした者はおります。
But this is not by virtue of their philosophy, which will have nothing to do with popular government, as we understand it, and which seeks only to put a new hierarchy in place of the old one.	しかしながらこれはその哲学のためではありませんし、われわれの理解しているような人民政府とも関係なく、古い階級関係にかわって新しい階級関係をつくりだそうとするだけのものです。
R.: It seems to me, then, that the leaders of the new international movement have had to form a philosophy as well as an association themselves.	――すると、インターナショナルの指導者たちは結社のみならず新しい哲学を生み出さねばならないように思えるのですが。
Dr. M.: Precisely.	マルクス：まさにその通り。
It is hardly likely, for instance, that we could hope to prosper in our war against capital if we derive our tactics, say, from the political economy of Mill.	たとえば、資本に対する戦いにおいて、もしミルの政治経済学から戦術を引き出すなら、われわれに大した勝利は望めますまい。
He has traced one kind of relationship between labor and capital.	かれは労働と資本の関係の一種類をたどってみせました。
We hope to show that it is possible to establish another.	われわれは、別の関係をうちたてることが可能だと示したいのです。
R.: And the United States?	――ではアメリカは？
Dr. M.: The chief concerns of our activity are for the present among the old societies of Europe.	マルクス：われわれの主要な活動拠点は、今のところヨーロッパの旧社会の中にあります。
Many circumstances have hitherto tended to prevent the labor problem from assuming an all-absorbing importance in the United States.	いままでは、多くの状況のため、アメリカでは労働問題がすべてを圧倒する大問題とはなってきませんでした。
But they are rapidly disappearing, and it is rapidly coming to the front there with the growth, as in Europe, of a laboring class distinct from the rest of the community and divorced from capital.	しかしながらそうした状況は急速に消滅しつつありますし、ヨーロッパで見られたのと同様、労働階級がコミュニティの他の部分とは別個に成長し、資本から切り離されるにつれて、急速に全面に出て来つつあります。
R.: It would seem that in this country the hoped-for solution, whatever it may be, will be attained without the violent means of revolution.	――このイギリスにおいては、あなたが希望なさっている解決は、なんであれ革命という暴力的な手段に頼らずに実現されるものと思うのですが。
The English system of agitating by platform and press, until minorities become converted into majorities, is a hopeful sign.	演説や新聞によってアジテーションを行い、少数派が転向して多数派になるというイギリス式のシステムは希望が持てると思うのですが。
Dr. M.: I am not so sanguine on that point as you.	マルクス：その点、わたしはあなたほど楽天的ではありません。
The English middle class has always shown itself willing enough to accept the verdict of the majority, so long as it enjoyed the monopoly of the voting power.	イギリスの中産階級は、自分たちが投票の独占を保てる場合には、多数派の審判を受け入れる用意があることを常に示してきました。
But, mark me, as soon as it finds itself outvoted on what it considers vital questions, we shall see here a new slaveowners's war.	しかしながら賭けてもいいが、中産階級がきわめて重要な問題と考える点について投票で破れたばあい、この国でも新たな奴隷所有者の戦争が起こることでしょう。
I have given you, as well as I can remember them, the heads of my conversation with this remarkable man.	わたしはこの印象的な人物との会話の趣旨を、記憶できた限り再現した。
I shall leave you to form your own conclusions.	結論を出すのはお任せする。
Whatever may be said for or against the probability of its complicity with the movement of the Commune, we may be assured that in the International Association, the civilized world has a new power in its midst, with which it must soon come to a reckoning for good or ill.	コミューン運動への関与について、肯定的・否定的に何を言われているにしても、インターナショナルは、よかれ悪しかれ文明社会が自らの中にあるものとして認識せざるを得ない新しい力を持つものであることはまちがいない。
